0	0	8926
0	1	0
0	2	1
0	3	2
1	0	13504
1	1	0
1	2	1
1	3	2
2	0	10558
2	1	0
2	2	1
2	3	2
3	0	4292
3	1	0
3	2	1
3	3	2
4	0	11370
4	1	0
4	2	1
4	3	2
5	0	3682
5	1	0
5	2	1
5	3	2
6	0	13505
6	1	0
6	2	1
6	3	2
7	0	12971
7	1	0
7	2	1
7	3	2
8	0	4721
8	1	0
8	2	1
8	3	2
9	0	11679
9	1	0
9	2	1
9	3	2
10	0	3682
10	4	3
10	5	4
10	3	2
11	0	6731
11	4	3
11	5	4
11	3	2
12	0	13506
12	4	3
12	5	4
12	3	2
13	0	2578
13	4	3
13	5	4
13	3	2
14	0	6731
14	4	3
14	5	4
14	3	2
15	0	13507
15	4	3
15	5	4
15	3	2
16	0	13508
16	4	3
16	5	4
16	3	2
17	0	4171
17	4	3
17	5	4
17	3	2
18	0	13509
18	4	3
18	5	4
18	3	2
19	0	13510
19	4	3
19	5	4
19	3	2
20	0	13511
20	1	5
20	6	6
20	3	2
21	0	13512
21	1	5
21	6	6
21	3	2
22	0	13513
22	1	5
22	6	6
22	3	2
23	0	13514
23	1	5
23	6	6
23	3	2
24	0	13515
24	1	5
24	6	6
24	3	2
25	0	13516
25	1	5
25	6	6
25	3	2
26	0	13517
26	1	5
26	6	6
26	3	2
27	0	13518
27	1	5
27	6	6
27	3	2
28	0	13519
28	1	5
28	6	6
28	3	2
29	0	13520
29	1	5
29	6	6
29	3	2
30	0	13521
30	7	7
30	3	2
31	0	13522
31	7	7
31	3	2
32	0	13523
32	7	7
32	3	2
33	0	13522
33	7	7
33	3	2
34	0	13524
34	7	7
34	3	2
35	0	13525
35	7	7
35	3	2
36	0	13523
36	7	7
36	3	2
37	0	13522
37	7	7
37	3	2
38	0	13526
38	7	7
38	3	2
39	0	13527
39	7	7
39	3	2
40	0	13528
40	3	2
40	8	8
40	9	9
41	0	13529
41	3	2
41	8	8
41	9	9
42	0	13530
42	3	2
42	8	8
42	9	9
43	0	13531
43	3	2
43	8	8
43	9	9
44	0	13532
44	3	2
44	8	8
44	9	9
45	0	13533
45	3	2
45	8	8
45	9	9
46	0	13534
46	3	2
46	8	8
46	9	9
47	0	13535
47	3	2
47	8	8
47	9	9
48	0	13536
48	3	2
48	8	8
48	9	9
49	0	13537
49	3	2
49	8	8
49	9	9
50	0	13538
50	10	10
50	11	11
50	12	12
51	0	13539
51	10	10
51	11	11
51	12	12
52	0	13540
52	10	10
52	11	11
52	12	12
53	0	13541
53	10	10
53	11	11
53	12	12
54	0	13542
54	10	10
54	11	11
54	12	12
55	0	13543
55	10	10
55	11	11
55	12	12
56	0	13544
56	10	10
56	11	11
56	12	12
57	0	13545
57	10	10
57	11	11
57	12	12
58	0	13546
58	10	10
